country,Region,Population_female,Population_male,Population in thousands (2017),GDP per capita (current US$),GDP: Gross domestic product (million current US$),Life_expec_female,Life_expec_male,life_expec_total,Total_Population
Argentina,SouthAmerica,22572521.0,21472290.0,44271,14564.5,632343,79.726,72.92399999999999,76.372,44044811.0
Australia,Oceania,12349632.0,12252228.0,24451,51352.2,1230859,84.6,80.5,82.5,24601860.0
Austria,WesternEurope,4478340.0,4319226.0,8736,44117.7,376967,84.0,79.4,81.64390243902442,8797566.0
Belarus,EasternEurope,5077542.0,4420722.0,9468,5750.8,54609,79.2,69.3,74.12926829268291,9498264.0
Belgium,WesternEurope,5766141.0,5609017.0,11429,40277.8,455107,83.9,79.2,81.4926829268293,11375158.0
Bosnia and Herzegovina,SouthernEurope,1709258.0,1642269.0,3507,4265.0,16251,79.581,74.622,77.128,3351527.0
Brazil,SouthAmerica,105601740.0,102232091.0,209288,8528.3,1772591,79.156,71.804,75.456,207833831.0
Bulgaria,EasternEurope,3636886.0,3439061.0,7085,6846.8,48953,78.4,71.4,74.81463414634149,7075947.0
Canada,NorthernAmerica,18418770.0,18124551.0,36624,43205.6,1552808,84.1,79.9,81.94878048780491,36543321.0
Chile,SouthAmerica,9373185.0,9097254.0,18055,13416.2,240796,82.333,77.333,79.90899999999999,18470439.0
"China, Hong Kong SAR",EasternAsia,3978989.0,3412711.0,7365,42431.0,309236,87.6,81.9,84.6804878048781,7391700.0
China,EasternAsia,674707818.0,711687182.0,1409517,8109.1,11158457,78.828,74.315,76.47,1386395000.0
Colombia,SouthAmerica,24915291.0,23985775.0,49066,6056.1,292080,79.694,74.124,76.925,48901066.0
Croatia,SouthernEurope,2139934.0,1984597.0,4189,11479.4,48676,80.9,74.9,77.8268292682927,4124531.0
Cyprus,WesternAsia,589132.0,590548.0,1180,21941.9,19561,82.794,78.547,80.672,1179680.0
Czechia,EasternEurope,5385332.0,5209106.0,10618,17561.7,185156,82.0,76.1,78.9780487804878,10594438.0
Denmark,NorthernEurope,2897965.0,2867015.0,5734,53149.3,301308,83.1,79.2,81.10243902439029,5764980.0
Egypt,NorthernAfrica,47706816.0,48735777.0,97553,3452.3,315917,73.967,69.453,71.656,96442593.0
Estonia,NorthernEurope,698154.0,619230.0,1310,17112.0,22460,82.6,73.8,78.0926829268293,1317384.0
